CODE,LOC_OUTLET_NAME,OUTLET_NAME,LOB_SEGMENT,LOB
94176453,Mountain Mrkt,Freshwds Mrkt,Grab N Go,Food and Beverage
88087503,MD MQ,MagiQuest,MagiQuest,Attractions
88083455,MD Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
88083453,MD Woods End Crm,Woods End,Confectionary,Food and Beverage
88085453,MD Banquets,Banquets,Banquets,Food and Beverage
88083457,MD HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
88083459,MD Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
88082407,MD Cabana,Cabana,Cabana,Food and Beverage
88086403,MD Paddle Bay,Paddle Bay,Waterpark Gift Shop,Retail
88084403,MD Timbers,Timbers,Snack Bar 2,Food and Beverage
88079653,MD Campfire Ktch,Campfire,Buffet,Food and Beverage
88085455,MD Buckhorn,Buckhorn,Gift Shop,Retail
88082405,MD Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
88084405,MD Room Service,Room Service,Room Service,Food and Beverage
88086405,MD Attractions 1,Attractions 1,Attractions 1,Attractions
88081553,MD Fireside,Fireside,Sit Down,Food and Beverage
88087505,MD Arcade,Arcade,Arcade,Attractions
66022853,WI Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66009003,VA Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66008403,TC Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66004103,KC Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66004105,KI Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66009005,WA Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66001603,CS Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66004704,SD Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66002503,GG Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
55543153,MT Room Service,Room Service,Room Service,Food and Beverage
55543005,MT Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
55542657,MT Outpost,Outpost,Bar,Food and Beverage
55542403,MT Campfire Ktch,Campfire Ktch,Buffet,Food and Beverage
55542663,MT Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
55543003,MT HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
55543453,MT Attractions 2,Attractions 2,Attractions 2,Attractions
55542553,MT Barnwood,Barnwood,Sit Down,Food and Beverage
55543555,MT Arcade,Arcade,Arcade,Attractions
55542659,MT Cabana,Cabana,Cabana,Food and Beverage
55543553,MT MagiQuest,MagiQuest,MagiQuest,Attractions
55542653,MT Buckets,Buckets,Snack Bar 1,Food and Beverage
55543557,MT Camp Howl,Camp Howl,Gift Shop,Retail
55543007,MT Timbers Tacos,Timbers Tacos,Snack Bar 1,Food and Beverage
55543353,MT Paddle Bay,Paddle Bay,Waterpark Gift Shop,Retail
50681503,PA Northwds Mrkt,Northwds Mrkt,Grab N Go,Food and Beverage
6272703,NE Spirit Island,Spirit Island,Snack Bar 3,Food and Beverage
6272709,NE Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
6272711,NE HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
6272713,NE Banquets,Banquets,Banquets,Food and Beverage
6272717,NE Gift Shop 2,Bear Esntls,Gift Shop 2,Retail
6272719,NE Attractions 1,Attractions 1,Attractions 1,Attractions
6272723,NE Arcade,Arcade,Arcade,Attractions
6272727,NE MagiQuest,MagiQuest,MagiQuest,Attractions
6272729,NE Scooops,Scooops,Spa,Retail
6597951,TC Camp Critter,Camp Critter,Sit Down,Food and Beverage
6689855,TC MagiQuest,MagiQuest,MagiQuest,Attractions
6704403,TC Cabana,Cabana,Cabana,Food and Beverage
6704405,TC Bear Paw,Bear Paw,Confectionary,Food and Beverage
6727151,VA Buckhorn,Buckhorn,Gift Shop,Retail
6727157,VA Attractions 2,Attractions 2,Attractions 2,Attractions
6727159,VA MagiQuest,MagiQuest,MagiQuest,Attractions
7002553,WA Buckets,Buckets,Snack Bar 1,Food and Beverage
7002555,WA Grizzly Robs,Grizzly Robs,Snack Bar 2,Food and Beverage
7002557,WA Raccn Lagoon,Raccn Lagoon,Snack Bar 3,Food and Beverage
7104851,WI WFG,Wood Fired Grill,Sit Down,Food and Beverage
7283511,KC Scooops,Scooops,Spa,Retail
7708711,KI Arcade,Arcade,Arcade,Attractions
8108583,PA MagiQuest,MagiQuest,MagiQuest,Attractions
8547715,SD Room Service,Room Service,Room Service,Food and Beverage
10705053,NC WFG,Wood Fired Grill,Sit Down,Food and Beverage
18643803,CS Loose Moose,Loose Moose,Buffet,Food and Beverage
18644057,CS Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
6272715,NE Gift Shop 1,Buckhorn,Gift Shop,Retail
6689851,TC Attractions 1,Attractions 1,Attractions 1,Attractions
6689853,TC Attractions 2,Attractions 2,Attractions 2,Attractions
6689857,TC Arcade,Arcade,Arcade,Attractions
6689861,TC Spa,Spa,Spa,Retail
6704411,TC Room Service,Room Service,Room Service,Food and Beverage
6727155,VA Attractions 1,Attractions 1,Attractions 1,Attractions
6741151,VA Camp Critter,Camp Critter,Sit Down,Food and Beverage
6741153,VA Buckets,Buckets,Snack Bar 1,Food and Beverage
6741551,VA Raccn Lagoon,Raccn Lagoon,Snack Bar 3,Food and Beverage
6741557,VA Bear Paw,Bear Paw,Confectionary,Food and Beverage
6742003,VA Banquets,Banquets,Banquets,Food and Beverage
7287203,KC Cabana,Cabana,Cabana,Food and Beverage
7886955,KI Banquets,Banquets,Banquets,Food and Beverage
8108567,PA Coffee Shop,Coffee Shop,Coffee Shop,Food and Beverage
10394555,GV Attractions 1,Attractions 1,Attractions 1,Attractions
10705061,NC Cabana,Cabana,Cabana,Food and Beverage
6727165,VA Spa,Spa,Spa,Retail
8108579,PA Attractions 1,Attractions 1,Attractions 1,Attractions
8547707,SD Bear Paw,Bear Paw,Confectionary,Food and Beverage
18650053,CS Magiquest,MagiQuest,MagiQuest,Attractions
6272601,NE Buffet,Buffet,Buffet,Food and Beverage
6272707,NE Confectionary,Confectionary,Confectionary,Food and Beverage
6272731,NE Spa,Spa,Spa,Retail
6689703,TC Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
6727161,VA Arcade,Arcade,Arcade,Attractions
6727163,VA Scooops,Scooops,Spa,Retail
6741555,VA Cabana,Cabana,Cabana,Food and Beverage
7002551,WA WFG,Wood Fired Grill,Sit Down,Food and Beverage
7002565,WA HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
7104857,WI Thunder Bay,Thunder Bay,Snack Bar 2,Food and Beverage
7709853,KI Scooops,Scooops,Spa,Retail
7885705,KI Raccn Lagoon,Raccn Lagoon,Snack Bar 3,Food and Beverage
7886953,KI Room Service,Room Service,Room Service,Food and Beverage
8108565,PA Bear Paw,Bear Paw,Confectionary,Food and Beverage
8108575,PA Buckhorn,Buckhorn,Gift Shop,Retail
8547703,SD Gitchigoomie,Gitchigoomie,Sit Down,Food and Beverage
10340255,GV Room Service,Room Service,Room Service,Food and Beverage
55542661,MT Ben & Jerrys,Ben & Jerrys,Confectionary,Food and Beverage
55542655,MT Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
55543157,MT Buckhorn,Buckhorn,Gift Shop,Retail
6272701,WP Bar,Bar,Bar,Food and Beverage
6272721,NE Attractions 2,Attractions 2,Attractions 2,Attractions
6689859,TC Scooops,Scooops,Spa,Retail
6703851,TC Buckets,Buckets,Snack Bar 1,Food and Beverage
6704401,TC Raccn Lagoon,Raccn Lagoon,Snack Bar 3,Food and Beverage
6704409,TC HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
6704413,TC Banquets,Banquets,Banquets,Food and Beverage
6727153,VA Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
6741553,VA Grizzly Robs,Grizzly Robs,Snack Bar 2,Food and Beverage
6741559,VA Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
6741561,VA HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
6742001,VA Room Service,Room Service,Room Service,Food and Beverage
7002559,WA Cabana,Cabana,Cabana,Food and Beverage
7002561,WA Bear Paw,Bear Paw,Confectionary,Food and Beverage
7002577,WA MagiQuest,MagiQuest,MagiQuest,Attractions
7019251,WA Loose Moose,Loose Moose,Buffet,Food and Beverage
7104855,WI Bobs Bar,Bobs Bar,Snack Bar 2,Food and Beverage
7104863,WI HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
7104865,WI Room Service,Room Service,Room Service,Food and Beverage
7104873,WI MagiQuest,MagiQuest,MagiQuest,Attractions
7104879,WI Spa,Spa,Spa,Retail
7283505,KC Attractions 2,Attractions 2,Attractions 2,Attractions
7283507,KC MagiQuest,MagiQuest,MagiQuest,Attractions
7283509,KC Arcade,Arcade,Arcade,Attractions
7284003,KC Camp Critter,Camp Critter,Sit Down,Food and Beverage
7708707,KI Attractions 1,Attractions 1,Attractions 1,Attractions
7708709,KI MagiQuest,MagiQuest,MagiQuest,Attractions
7885707,KI Cabana,Cabana,Cabana,Food and Beverage
8108553,PA Loose Moose,Loose Moose,Buffet,Food and Beverage
8108581,PA Attractions 2,Attractions 2,Attractions 2,Attractions
8108589,PA Spa,Spa,Spa,Retail
8547719,SD Buckhorn,Buckhorn,Gift Shop,Retail
8547723,SD MagiQuest,MagiQuest,MagiQuest,Attractions
8547727,SD Scooops,Scooops,Spa,Retail
10339555,GV Grizzly Robs,Grizzly Robs,Snack Bar 2,Food and Beverage
10341103,GV Starbucks,Starbucks,Coffee Shop,Food and Beverage
10705057,NC Grizzly Robs,Grizzly Robs,Snack Bar 2,Food and Beverage
10714853,NC Bear Paw,Bear Paw,Confectionary,Food and Beverage
10714855,NC Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
10779055,NC Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
10780803,NC Scooops,Scooops,Spa,Retail
11662003,GG Loose Moose,Loose Moose,Buffet,Food and Beverage
11662907,GG Grizzly Jacks,Grizzly Jacks,Snack Bar 3,Food and Beverage
11663459,GG Banquets,Banquets,Banquets,Food and Beverage
18644053,CS Barnwood,Barnwood,Sit Down,Food and Beverage
18644059,CS Outpost,Outpost,Bar,Food and Beverage
18649553,CS Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
27745955,MN Attractions 1,Attractions 1,Attractions 1,Attractions
7002563,WA Starbucks,Starbucks,Coffee Shop,Food and Beverage
7104867,WI Banquets,Banquets,Banquets,Food and Beverage
7284803,KC HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
7287605,KC Banquets,Banquets,Banquets,Food and Beverage
7885703,KI Grizzly Robs,Grizzly Robs,Snack Bar 2,Food and Beverage
7886253,KI Bear Paw,Bear Paw,Confectionary,Food and Beverage
8108555,PA Camp Critter,Camp Critter,Sit Down,Food and Beverage
8547711,SD Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
8547721,SD Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
8547729,SD Spa,Spa,Spa,Retail
10339253,GV WFG,Wood Fired Grill,Sit Down,Food and Beverage
10341105,GV HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
10705059,NC Raccn Lagoon,Raccn Lagoon,Snack Bar 3,Food and Beverage
10779059,NC Attractions 2,Attractions 2,Attractions 2,Attractions
11662911,GG Bear Paw,Bear Paw,Confectionary,Food and Beverage
11663457,GG Room Service,Room Service,Room Service,Food and Beverage
14361653,KC Grizzly Robs,Grizzly Robs,Snack Bar 2,Food and Beverage
18644509,CS HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
18644511,CS Room Service,Room Service,Room Service,Food and Beverage
7104869,WI Buckhorn,Buckhorn,Gift Shop,Retail
7709855,KI Spa,Spa,Spa,Retail
8108587,PA Scooops,Scooops,Spa,Retail
18903303,CS Spa,Spa,Spa,Retail
27745961,MN Arcade,Arcade,Arcade,Attractions
27746505,MN Spa,Spa,Spa,Retail
27766303,MN Campfire Ktch,Campfire Ktch,Buffet,Food and Beverage
28307353,MN Buckets,Buckets,Snack Bar 1,Food and Beverage
28307357,MN Outpost,Outpost,Bar,Food and Beverage
66004702,NC Nrthwds Mrkt,Freshwds Mrkt,Grab N Go,Food and Beverage
31721155,LG Buckhorn,Buckhorn,Gift Shop,Retail
31721159,LG Campfire Ktch,Campfire Ktch,Buffet,Food and Beverage
33339607,IL HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
33341607,IL Attractions 2,Attractions 2,Attractions 2,Attractions
46989403,AZ Campfire Ktch,Campfire Ktch,Buffet,Food and Beverage
46991409,AZ Banquets,Banquets,Banquets,Food and Beverage
46993407,AZ Camp Howl,Camp Howl,Gift Shop,Retail
56127453,SD Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
33341603,IL MagiQuest,MagiQuest,MagiQuest,Attractions
6272705,NE Cabana,Cabana,Cabana,Food and Beverage
7104853,WI Buckets,Buckets,Snack Bar 1,Food and Beverage
7884405,KI Loose Moose,Loose Moose,Buffet,Food and Beverage
10340253,GV Banquets,Banquets,Banquets,Food and Beverage
55543155,MT Banquets,Banquets,Banquets,Food and Beverage
6272603,A La Carte,Wood Fired Grill,A La Carte,Food and Beverage
6272725,Promotions,Promotions,Snack Bar 3,Food and Beverage
7002571,WA Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
7002575,WA Attractions 2,Attractions 2,Attractions 2,Attractions
7002579,WA Arcade,Arcade,Arcade,Attractions
7002581,WA Scooops,Scooops,Spa,Retail
7104861,WI Bear Paw,Bear Paw,Confectionary,Food and Beverage
7104871,WI Bear Essen,Bear Esntls,Waterpark Gift Shop,Retail
7104877,WI Scoops,Scooops,Spa,Retail
7284805,KC Buckets,Buckets,Snack Bar 1,Food and Beverage
7708703,KI Buckhorn,Buckhorn,Gift Shop,Retail
7708705,KI Bear Essen,Bear Esntls,Waterpark Gift Shop,Retail
7884407,KI Buckets,Buckets,Snack Bar 1,Food and Beverage
7886255,KI Coffee Shop,Coffee Shop,Coffee Shop,Food and Beverage
7886257,KI HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
8108557,PA Buckets,Buckets,Snack Bar 1,Food and Beverage
8108573,PA Banquets,Banquets,Banquets,Food and Beverage
8547705,SD Buckets,Buckets,Snack Bar 1,Food and Beverage
10331103,GV Loose Moose,Loose Moose,Buffet,Food and Beverage
10339553,GV Buckets,Buckets,Snack Bar 1,Food and Beverage
10394203,GV MagiQuest,MagiQuest,MagiQuest,Attractions
10394553,GV Arcade,Arcade,Arcade,Attractions
10705055,NC Buckets,Buckets,Snack Bar 1,Food and Beverage
10779053,NC Buckhorn,Buckhorn,Gift Shop,Retail
10779057,NC Attractions 1,Attractions 1,Attractions 1,Attractions
10780305,NC Spa,Spa,Spa,Retail
11663455,GG HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
18650055,CS Arcade,Arcade,Arcade,Attractions
18650057,CS Scoooops,Scooops,Spa,Retail
6689701,TC Buckhorn,Buckhorn,Gift Shop,Retail
6272719,Attractions,Attractions,Attractions,Attractions
6272723,Arcade,Arcade,Arcade,Attractions
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272719,Attractions,Attractions,Attractions,Attractions
6272723,Arcade,Arcade,Arcade,Attractions
6272713,Banquets,Banquets,Banquets,Food and Beverage
6704407,TC Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
7002567,WA Room Service,Room Service,Room Service,Food and Beverage
7002573,WA Attractions 1,Attractions 1,Attractions 1,Attractions
7002583,WA Spa,Spa,Spa,Retail
7104859,WI Cabana,Cabana,Cabana,Food and Beverage
7104875,WI Arcade,Arcade,Arcade,Attractions
7282903,KC Loose Moose,Loose Moose,Buffet,Food and Beverage
7283503,KC Bear Essen,Bear Esntls,Waterpark Gift Shop,Retail
7283513,KC Spa,Spa,Spa,Retail
7287603,KC Room Service,Room Service,Room Service,Food and Beverage
7884403,KI WFG,Wood Fired Grill,Sit Down,Food and Beverage
8108559,PA Grizzly Robs,Grizzly Robs,Snack Bar 2,Food and Beverage
8108561,PA Grizzly Jacks,Grizzly Jacks,Snack Bar 3,Food and Beverage
8108563,PA Cabana,Cabana,Cabana,Food and Beverage
8108571,PA Room Service,Room Service,Room Service,Food and Beverage
8108577,PA Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
8108585,PA Arcade,Arcade,Arcade,Attractions
8547709,SD Cabana,Cabana,Cabana,Food and Beverage
8547713,SD HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
28311103,MN Nrthwds Mrkt,Nrthwds Mrkt,Grab N Go,Food and Beverage
28311803,MN Nrthwds Mrkt,Nrthwds Mrkt,Grab N Go,Food and Beverage
8547717,SD Banquets,Banquets,Banquets,Food and Beverage
10339557,GV Grizzly Jacks,Grizzly Jacks,Snack Bar 3,Food and Beverage
10339953,GV Cabana,Cabana,Cabana,Food and Beverage
10340257,GV Bear Paw,Bear Paw,Confectionary,Food and Beverage
10341453,GV Buckhorn,Buckhorn,Gift Shop,Retail
10395053,GV Spa,Spa,Spa,Retail
10483103,GV Attractions 2,Attractions 2,Attractions 2,Attractions
10699303,NC Loose Moose,Loose Moose,Buffet,Food and Beverage
10715053,NC HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
10715055,NC Room Service,Room Service,Room Service,Food and Beverage
10715057,NC Banquets,Banquets,Banquets,Food and Beverage
10780303,NC Magiquest,MagiQuest,MagiQuest,Attractions
11087053,NE Room Service,Room Service,Room Service,Food and Beverage
11348803,KC Grizzly Jacks,Grizzly Jacks,Snack Bar 3,Food and Beverage
11662903,GG WFG,Wood Fired Grill,Sit Down,Food and Beverage
11663953,GG Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
11663955,GG Attractions 1,Attractions 1,Attractions 1,Attractions
11664355,GG Magiquest,MagiQuest,MagiQuest,Attractions
11664359,GG Scooops,Scooops,Spa,Retail
11664361,GG Spa,Spa,Spa,Retail
14257203,KI Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
18644505,CS Ben & Jerrys,Ben & Jerrys,Confectionary,Food and Beverage
18644507,CS Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
18644513,CS Banquets,Banquets,Banquets,Food and Beverage
19666553,TC Grizzly Robs,Grizzly Robs,Snack Bar 2,Food and Beverage
27745703,MN Buckhorn,Buckhorn,Gift Shop,Retail
7002569,WA Buckhorn,Buckhorn,Gift Shop,Retail
7282905,KC Buckhorn,Buckhorn,Gift Shop,Retail
11662905,GG Buckets,Buckets,Snack Bar 1,Food and Beverage
11663453,GG Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
11664353,GG Attractions 2,Attractions 2,Attractions 2,Attractions
18649353,CS Buckhorn,Buckhorn,Gift Shop,Retail
27745953,MN Paddle Bay Ot,Paddle Bay,Waterpark Gift Shop,Retail
10780805,NC Arcade,Arcade,Arcade,Attractions
18644503,CS Cabana,Cabana,Cabana,Food and Beverage
27745957,MN Attractions 2,Attractions 2,Attractions 2,Attractions
27745959,MN MagiQuest,MagiQuest,MagiQuest,Attractions
27746503,MN Scooops,Scooops,Spa,Retail
28307355,MN Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
28307753,MN Cabana,Cabana,Cabana,Food and Beverage
28307755,MN Ben & Jerrys,Ben & Jerrys,Confectionary,Food and Beverage
28308203,MN Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
28308205,MN HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
28310753,MN Room Service,Room Service,Room Service,Food and Beverage
28311103,MN Northwds Mrkt,Northwds Mrkt,Grab N Go,Food and Beverage
28311803,MN Northwds Mrkt,Northwds Mrkt,Grab N Go,Food and Beverage
28311805,MN Banquets,Banquets,Banquets,Food and Beverage
31720253,LG Arcade,Arcade,Arcade,Attractions
31720255,LG Attractions 1,Attractions 1,Attractions 1,Attractions
31720257,LG Attractions 2,Attractions 2,Attractions 2,Attractions
31720259,LG Banquets,Banquets,Banquets,Food and Beverage
31720261,LG Barnwood,Barnwood,Sit Down,Food and Beverage
31721153,LG Buckets,Buckets,Snack Bar 1,Food and Beverage
31721953,LG Camp Howl,Camp Howl,Gift Shop,Retail
31721959,LG MagiQuest,MagiQuest,MagiQuest,Attractions
31721961,LG Northwds Mrkt,Northwds Mrkt,Grab N Go,Food and Beverage
31722803,LG Outpost,Outpost,Bar,Food and Beverage
31722807,LG Room Service,Room Service,Room Service,Food and Beverage
31722809,LG Timbers Tacos,Timbers Tacos,Snack Bar 2,Food and Beverage
31722811,LG Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
33339603,IL Campfire Ktch,Campfire Ktch,Buffet,Food and Beverage
33339609,IL Buckets,Buckets,Snack Bar 1,Food and Beverage
33339611,IL Outpost,Outpost,Bar,Food and Beverage
33340303,IL Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
33340305,IL Cabana/Tablet,Cabana,Cabana,Food and Beverage
33340307,IL Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
33340309,IL Ben & Jerrys,Ben & Jerrys,Confectionary,Food and Beverage
33340311,IL Freshwds Mrkt,Freshwds Mrkt,Grab N Go,Food and Beverage
33340953,IL Timbers Tacos,Timbers Tacos,Snack Bar 2,Food and Beverage
33340957,IL Banquets,Banquets,Banquets,Food and Beverage
33340959,IL Buckhorn,Buckhorn,Gift Shop,Retail
33340961,IL Paddle Bay Ot,Paddle Bay,Waterpark Gift Shop,Retail
37636453,PA Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
46989405,AZ Barnwood,Barnwood,Sit Down,Food and Beverage
46990205,AZ Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
46990207,AZ Outpost,Outpost,Bar,Food and Beverage
46990211,AZ Ben & Jerrys,Ben & Jerrys,Confectionary,Food and Beverage
46990213,AZ Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
46990215,AZ HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
46991405,AZ Timbers,Timbers Tacos,Snack Bar 1,Food and Beverage
46991407,AZ Room Service,Room Service,Room Service,Food and Beverage
46991411,AZ Buckhorn,Buckhorn,Gift Shop,Retail
46992603,AZ Paddle Bay,Paddle Bay,Waterpark Gift Shop,Retail
46993405,AZ Arcade,Arcade,Arcade,Attractions
6272605,WP Snack Bar,Buckets,Snack Bar 1,Food and Beverage
7030351,WA Banquets,Banquets,Banquets,Food and Beverage
7284005,KC Bear Paw,Bear Paw,Confectionary,Food and Beverage
8108569,PA HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
8547725,SD Arcade,Arcade,Arcade,Attractions
10341803,GV Bear Esntls,Bear Esntls,Waterpark Gift Shop,Retail
11663461,GG Buckhorn,Buckhorn,Gift Shop,Retail
11664357,GG Arcade,Arcade,Arcade,Attractions
18644055,CS Buckets,Buckets,Snack Bar 1,Food and Beverage
18649555,CS Attractions 1,Attractions 1,Attractions 1,Attractions
11662909,GG Cabana,Cabana,Cabana,Food and Beverage
18649557,CS Attractions 2,Attractions 2,Attractions 2,Attractions
27769653,MN Barnwood,Barnwood,Sit Down,Food and Beverage
31721157,LG Cabana,Cabana,Cabana,Food and Beverage
31721955,LG Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
31721957,LG HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
31722805,LG Paddle Bay Ot,Paddle Bay,Waterpark Gift Shop,Retail
31723703,LG Ben & Jerrys,Ben & Jerrys,Confectionary,Food and Beverage
33339605,IL Barnwood,Barnwood,Sit Down,Food and Beverage
33340955,IL Room Service,Room Service,Room Service,Food and Beverage
33341605,IL Arcade,Arcade,Arcade,Attractions
46990209,AZ Cabana,Cabana,Cabana,Food and Beverage
46991403,AZ Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
46992605,AZ Attractions 2,Attractions 2,Attractions 2,Attractions
46993403,AZ MagiQuest,MagiQuest,MagiQuest,Attractions
46990203,AZ Buckets,Buckets,Snack Bar 1,Food and Beverage
61926653,GV Mobile Cart,Mobile Cart,Mobile Cart,Retail
62968753,PA Mobile Cart,Mobile Cart,Mobile Cart,Retail
62970453,AZ Mobile Cart,Mobile Cart,Mobile Cart,Retail
62971103,LG Mobile Cart,Mobile Cart,Mobile Cart,Retail
66003053,GV Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66003553,NE Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
70226853,LG Top Golf,Top Golf,Top Golf,Attractions
78093553,GV Pack Shack,Pack Shack,Employee Meals,Other
85233553,GV The Grounds,Top Golf,Top Golf,Attractions
88082403,MD Buckets,Buckets,Snack Bar 1,Food and Beverage
88086407,MD Attractions 2,Attractions 2,Attractions 2,Attractions
6272723,Arcade,Arcade,Arcade,Attractions
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272719,Attractions 1,Attractions,Attractions,Attractions
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272723,Arcade,Arcade,Arcade,Attractions
6272723,Arcade,Arcade,Arcade,Attractions
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272721,Attractions 2,Attractions,Attractions,Attractions
6272719,Attractions 1,Attractions,Attractions,Attractions
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272723,Arcade,Arcade,Arcade,Attractions
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272723,Arcade,Arcade,Arcade,Attractions
6272705,Cabana,Cabana,Cabana,Food and Beverage
